caseId	origin	category	operation	parameterBdText	parameterLegacyText	lineBdText	lineLegacyText	snapValueBits	snapMinBits	snapMaxBits	expectedCoefficient	expectedScale	expectedCanonicalText	expectedDoubleBits	expectedActivation	expectedParameterSaveBase64	expectedLineSaveBase64	expectedSnapBits	expectedLinePointsBits	expectedKind	expectedCategory
c-res-param-zero	curated	parameter-load-save	parameter-load-save	0							0	0	0	0000000000000000	0	MA==	MA==		0000000000000000:3fc0a3d70a3d70a4;3fe0000000000000:3fde147ae147ae14;3ff0000000000000:3fed1eb851eb851f	bits	
c-res-parse-1	curated	parse	parse	0.1							1	1	0.1	3fb999999999999a	1					bits	
c-res-parse-10	curated	parse	parse	0							0	0	0	0000000000000000	0					bits	
c-res-parse-11	curated	parse	parse	007							7	0	7	401c000000000000	1					bits	
c-res-parse-12	curated	parse	parse	0.000005678							5678	9	0.000005678	3ed7d0b4c170d6b5	1					bits	
c-res-parse-13	curated	parse	parse	5.678e-6							5678	9	0.000005678	3ed7d0b4c170d6b5	1					bits	
c-res-parse-14	curated	parse	parse	1E-2147483647							1	2147483647	1E-2147483647	0000000000000000	0					bits	
c-res-parse-15	curated	parse	parse	1E+2147483648							1	-2147483648	1E+2147483648	7ff0000000000000	1					bits	
c-res-parse-16	curated	parse	parse	12345.6789							123456789	4	12345.6789	40c81cd6e631f8a1	1					bits	
c-res-parse-17	curated	parse	parse	-0.000000000000000000000001							-1	24	-1E-24	baf357c299a88ea7	0					bits	
c-res-parse-18	curated	INVALID_DECIMAL_SYNTAX	parse	abc																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-19	curated	INVALID_DECIMAL_SYNTAX	parse	1.2.3																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-2	curated	parse	parse	0.10							10	2	0.10	3fb999999999999a	1					bits	
c-res-parse-20	curated	INVALID_DECIMAL_SYNTAX	parse																	exception	INVALID_DECIMAL_SYNTAX
c-res-parse-21	curated	INVALID_DECIMAL_SYNTAX	parse	 0.1																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-22	curated	INVALID_DECIMAL_SYNTAX	parse	0.1 																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-23	curated	INVALID_DECIMAL_SYNTAX	parse	+																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-24	curated	INVALID_DECIMAL_SYNTAX	parse	.																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-25	curated	INVALID_DECIMAL_SYNTAX	parse	e5																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-26	curated	INVALID_DECIMAL_SYNTAX	parse	0x10																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-27	curated	INVALID_DECIMAL_SYNTAX	parse	1_000																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-28	curated	INVALID_DECIMAL_SYNTAX	parse	NaN																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-29	curated	INVALID_DECIMAL_SYNTAX	parse	Infinity																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-3	curated	parse	parse	1e-7							1	7	1E-7	3e7ad7f29abcaf48	1					bits	
c-res-parse-30	curated	INVALID_DECIMAL_SYNTAX	parse	1e																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-31	curated	INVALID_DECIMAL_SYNTAX	parse	1e+																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-32	curated	INVALID_DECIMAL_SYNTAX	parse	--1																exception	INVALID_DECIMAL_SYNTAX
c-res-parse-33	curated	DECIMAL_SCALE_OVERFLOW	parse	1E-2147483648																exception	DECIMAL_SCALE_OVERFLOW
c-res-parse-34	curated	DECIMAL_SCALE_OVERFLOW	parse	1E+2147483649																exception	DECIMAL_SCALE_OVERFLOW
c-res-parse-35	curated	DECIMAL_SCALE_OVERFLOW	parse	0.00000000000000000000000000000001e-2147483647																exception	DECIMAL_SCALE_OVERFLOW
c-res-parse-4	curated	parse	parse	1E+3							1	-3	1E+3	408f400000000000	1					bits	
c-res-parse-5	curated	parse	parse	0.00							0	2	0.00	0000000000000000	0					bits	
c-res-parse-6	curated	parse	parse	.5							5	1	0.5	3fe0000000000000	1					bits	
c-res-parse-7	curated	parse	parse	5.							5	0	5	4014000000000000	1					bits	
c-res-parse-8	curated	parse	parse	+3.25							325	2	3.25	400a000000000000	1					bits	
c-res-parse-9	curated	parse	parse	-0.0							0	1	0.0	0000000000000000	0					bits	
c-res-snap-at-max	curated	snap	snap	0.1				3ff6666666666666	0000000000000000	3ff0000000000000								3ff0000000000000		bits	
c-res-snap-at-max-equal	curated	snap	snap	0.1				3ff0000000000000	0000000000000000	3ff0000000000000								3ff0000000000000		bits	
c-res-snap-at-min	curated	snap	snap	0.1				bfc999999999999a	0000000000000000	3ff0000000000000								0000000000000000		bits	
c-res-snap-basic	curated	snap	snap	0.1				3fd7ae147ae147ae	0000000000000000	3ff0000000000000								3fd999999999999a		bits	
c-res-snap-neg-value	curated	snap	snap	0.25				bfd3333333333333	bff0000000000000	3ff0000000000000								bfe0000000000000		bits	
c-res-snap-negative-min	curated	snap	snap	0.1				bf9eb851eb851eb8	bff0000000000000	3ff0000000000000								0000000000000000		bits	
c-res-snap-negative-scale	curated	snap	snap	1E+3				4093480000000000	0000000000000000	40b3880000000000								408f400000000000		bits	
c-res-snap-scale-19	curated	snap	snap	0.00000000000000000001				3fbf9add3746f65f	0000000000000000	3ff0000000000000								3fbf9add3746f65f		bits	
c-res-snap-tie	curated	snap	snap	0.5				3fd0000000000000	0000000000000000	3ff0000000000000								0000000000000000		bits	
c-res-snap-underflow-resolution	curated	snap	snap	1E-400				3fbf7ced916872b0	0000000000000000	3ff0000000000000								3fbf7ced916872b0		bits	
c-res-snap-unquantized	curated	snap	snap	-1				3fd7ae147ae147ae	0000000000000000	3ff0000000000000								3fd7ae147ae147ae		bits	
c-res-snap-zero-resolution	curated	snap	snap	0				3fd7ae147ae147ae	0000000000000000	3ff0000000000000								3fd7ae147ae147ae		bits	
