caseId	origin	category	resolutionText	curve	pointsBits	evaluationTimeBits	expectedKind	expectedBits	expectedCategory	sampleRateBits	sampleNumberBits
c-rt-resolution-10	curated	resolution-variant	-0.5	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-11	curated	resolution-variant	0.25	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fe0000000000000			
c-rt-resolution-12	curated	resolution-variant	0.025	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-2	curated	resolution-variant	1E+3	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	0000000000000000			
c-rt-resolution-3	curated	resolution-variant	0.10	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fe0000000000000			
c-rt-resolution-4	curated	resolution-variant	1E-7	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-5	curated	resolution-variant	1E-19	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-6	curated	resolution-variant	1E-400	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-7	curated	resolution-variant	0.123456789012345678901234	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdf9add3746f65f			
c-rt-resolution-8	curated	resolution-variant	0.00	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-resolution-9	curated	resolution-variant	-1	LINEAR	0000000000000000:3fe8a3d70a3d70a4;4000000000000000:3fc0a3d70a3d70a4	3ff0000000000000	bits	3fdccccccccccccd			
c-rt-signed-zero-values	curated	special-values	-1	LINEAR	0000000000000000:0000000000000000;3ff0000000000000:0000000000000000	3fe0000000000000	bits	0000000000000000			
c-rt-single-point	curated	single-point	0.01	LINEAR	0000000000000000:3fd7df3b645a1cac	3fe6666666666666	bits	3fd7df3b645a1cac			
c-rt-subnormal-quantized	curated	special-values	1E-19	LINEAR	0000000000000000:0000000000000001;3ff0000000000000:0000000000000002	3fe0000000000000	bits	0000000000000000			
c-rt-subnormal-values	curated	special-values	-1	LINEAR	0000000000000000:0000000000000001;3ff0000000000000:0000000000000002	3fe0000000000000	bits	0000000000000001			
c-rt-time-negative-zero	curated	time-zero	0.01	LINEAR	0000000000000000:3fbc28f5c28f5c29;3ff0000000000000:3feccccccccccccd	8000000000000000	bits	3fbc28f5c28f5c29			
c-rt-time-zero	curated	time-zero	0.01	LINEAR	0000000000000000:3fbc28f5c28f5c29;3ff0000000000000:3feccccccccccccd	0000000000000000	bits	3fbc28f5c28f5c29			
c-rt-zero-crossing	curated	zero-crossing	0.1	LINEAR	0000000000000000:bff0000000000000;4000000000000000:3ff0000000000000	3ff0000000000000	bits	0000000000000000			
rt-seed-0001	seeded	seeded-linear	0	LINEAR	0000000000000000:3feb75f62a1bd625;4036400000000000:3fee83cac6d8fc9f;4045200000000000:3fe52e62de279b73	40416872f88d7e6f	bits	3fe8a686ffdee083			
rt-seed-0002	seeded	seeded-linear	0.5	LINEAR	0000000000000000:4084c077fe99a3d9;3ffe000000000000:40828f9374b4d8e9;4033000000000000:407cf0771c94351f	402e3ac1d2915bd4	bits	407ed00000000000			
rt-seed-0003	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:c01e37489b74c4c0;4029800000000000:40571782b13aefbe;4040500000000000:c044220280a57281;4043400000000000:c05230a68a09975f;4048900000000000:401d60bf16bbffb0	403858dcfae5b702	bits	402df37dc7abfb9c			
rt-seed-0004	seeded	seeded-linear	-1	LINEAR	0000000000000000:3feddb281b5b3d38;4010800000000000:3fe5312fe14c54a2;4027c00000000000:3fd01c950aa52e70	4042700000000000	bits	3fd01c950aa52e70			
rt-seed-0005	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:c05426aacc2bb51e;4032e00000000000:405287a2037c474c;4040300000000000:40538ad9477ec7ec;4042500000000000:c03bf505bd43f2b4	40326d48dfc7f410	bits	40519c8b76275cea			
rt-seed-0006	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:407b5a3f4a4c209e;402dc00000000000:407cb8eeec58fec9;402fc00000000000:4081b11b45f8bd0f;4039800000000000:4086d0fac6a75b72	4020f551e29702b2	bits	0000000000000000			
rt-seed-0007	seeded	seeded-linear	1	LINEAR	0000000000000000:3fd4e976d6e4b8c4;402b000000000000:3fae0459a045d410	402d000000000000	bits	3fae0459a045d410			
rt-seed-0008	seeded	seeded-linear	5	LINEAR	0000000000000000:c04bc8c6cb44ae60;4018800000000000:404830033ad95c74	3fd45d862acef7e9	bits	c049000000000000			
rt-seed-0009	seeded	seeded-linear	0.00	LINEAR	0000000000000000:c058d7ae0c608ffe;4021c00000000000:c057aca1c9d7cf30	4014f740317125bb	bits	c0582710f3089609			
rt-seed-0010	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:3fee37c472d7385e;4038a00000000000:bfe030ba5baa096e;4045800000000000:3fc5e671eefbd338;4050e80000000000:3fe9251d83c6e914	0000000000000000	bits	3fee37c472d7385e			
rt-seed-0011	seeded	seeded-linear	0.001	LINEAR	0000000000000000:4024f5aeddd76800;4029c00000000000:405152e60a6963b6;4042500000000000:405fbac9f3912a2d;4044900000000000:4027226eea5fde98	4037b5d1a8f08995	bits	4057e5604189374c			
rt-seed-0012	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:405632e9ea0aec62;4030e00000000000:4033db7886278372	400a0ab901ab1726	bits	4052e38e3609693f			
rt-seed-0013	seeded	seeded-linear	0.1	LINEAR	0000000000000000:bfe0fc70738f75e6;4028000000000000:3fece128a420646e;402e800000000000:3fe8f3c88150479a	0000000000000000	bits	bfe0fc70738f75e6			
rt-seed-0014	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:4059d8f8ab50cefc;4033c00000000000:4005923612ccaf02	4022331e89cde69c	bits	404c7f6813e59012			
rt-seed-0015	seeded	seeded-linear	0.01	LINEAR	0000000000000000:4058900efe31618c;4035c00000000000:c0587ba571338c5d	402b3b25b8aa78ca	bits	c0388ccccccccccd			
rt-seed-0016	seeded	seeded-linear	1	LINEAR	0000000000000000:c04ccf747700b706;4035600000000000:404a51465205c8c4	4021b899f18226d8	bits	c028000000000000			
rt-seed-0017	seeded	seeded-linear	1	LINEAR	0000000000000000:4059dad3dd6b75ec;4022400000000000:404a16178702c67c;4040d00000000000:40530a6c43a828f6;4044f00000000000:4040c62afaedb854	404240a68155a0eb	bits	404f000000000000			
rt-seed-0018	seeded	seeded-linear	1E+3	LINEAR	0000000000000000:c05126360489fde2;4002000000000000:c0499e2887b14131;4039a00000000000:c0551ff8676d41ea;4047300000000000:c0507032480748f6	4039a00000000000	bits	c0551ff8676d41ea			
rt-seed-0019	seeded	seeded-linear	-1	LINEAR	0000000000000000:40424873dfca1c5c;4024000000000000:c05788ef8f76eb6d;403d200000000000:c052a5be131bad56;4044b00000000000:40538e7534293022;4048c00000000000:4057a0a7cbd9def4	40484a0b5da18dbb	bits	40572a735a7b23dc			
rt-seed-0020	seeded	seeded-linear	5	LINEAR	0000000000000000:3feec3148d71bcc3;3ffa000000000000:3fe675dd5effdf51;4037600000000000:3fcaab0a92a1e620;4038e00000000000:3fb5545749b38b80;4040500000000000:3fde001038c2a8b2	40355641da1651b9	bits	4014000000000000			
rt-seed-0021	seeded	seeded-linear	0.01	LINEAR	0000000000000000:40541ad4bfd35dca;402a400000000000:4057ac694818e11a;4040d00000000000:4054cc7e368fbd3a;4047400000000000:c058591328e692f5	4040d00000000000	bits	4054cc7e368fbd3a			
rt-seed-0022	seeded	seeded-linear	0.001	LINEAR	0000000000000000:3fc141e0513fcb24;4027c00000000000:3febd9164a0d34e1;4028c00000000000:3fcbd667819fd930;4040c00000000000:3fe9021e8cedb0e0	4049400000000000	bits	3fe9021e8cedb0e0			
rt-seed-0023	seeded	seeded-linear	5	LINEAR	0000000000000000:408063942a50c3e5;4032600000000000:40724e10930253ac;4038600000000000:40891515dbe9169d;403f800000000000:4024be65b0d27c63	401b4d25d5d57073	bits	407b800000000000			
rt-seed-0024	seeded	seeded-linear	0.10	LINEAR	0000000000000000:3fe22da4979562df;4029c00000000000:3fdac8d99d36b07a;4040000000000000:3fd7b87085667f88;4042200000000000:3fd9e1ae3051135a	3fffef322ae34591	bits	3fe3333333333333			
rt-seed-0025	seeded	seeded-linear	0.2	LINEAR	0000000000000000:3fc67fd1a62b5d2c;4035600000000000:3fee8368ad390de6;4037800000000000:3f690f7ebf29f300	402a040f5590abd0	bits	3fe3333333333333			
rt-seed-0026	seeded	seeded-linear	0.1	LINEAR	0000000000000000:c0405745829b68e4;3ff4000000000000:40539d93f97001f6;4034a00000000000:c053e24523ae535e;4035600000000000:c03a9b762162f1c4	402db9c926f749ee	bits	c040400000000000			
rt-seed-0027	seeded	seeded-linear	0.00	LINEAR	0000000000000000:404a8e61777b6420;4012800000000000:40530a081c45033e;402bc00000000000:4058d68f506f8cdc;4041f00000000000:405489184d6dc7fd;4048b00000000000:4051ae1ebe35c50f	404214d769953a6a	bits	40547982a58bc382			
rt-seed-0028	seeded	seeded-linear	0.2	LINEAR	0000000000000000:bfdaf7f0fce0ee28;4027400000000000:bfe2c29cbcc23efe;403cc00000000000:bfc3967d7b8ad3a8;4043600000000000:3fcee61c6bc28f18;404e000000000000:bfee1a45f192c008	0000000000000000	bits	bfdaf7f0fce0ee28			
rt-seed-0029	seeded	seeded-linear	0.10	LINEAR	0000000000000000:3fd118ad85812796;4030800000000000:3fe54f7b5ff608ab;4040300000000000:3fc80637ab21db60;404ce00000000000:3fdb9c9399975548	40384ff73b5e8bd0	bits	3fe0000000000000			
rt-seed-0030	seeded	seeded-linear	0.00	LINEAR	0000000000000000:3fc1407d72589ac0;401b800000000000:3fea62de5ddcb4b8;403ca00000000000:3fdfccd65b8cea7c;4047000000000000:3fec2186785ccc60;4050900000000000:3fed84c687bf3ba0	4050152843b8b011	bits	3fed631a4d653106			
rt-seed-0031	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:4058533cb272c895;4038600000000000:40529f332d1a3582	402bc2ff3ba71e45	bits	4055148b0c9e94d4			
rt-seed-0032	seeded	seeded-linear	0.1	LINEAR	0000000000000000:4047ac04d683a29b;3ff2000000000000:40351bf6d559cdb9	3fe7b27ce270a97e	bits	403e19999999999a			
rt-seed-0033	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:40508bea406502b4;402f000000000000:403552c899e31198;4035000000000000:403f27cdfd4feab8;4036600000000000:4027408f97eae3d8;4041d00000000000:40505ab9ba0bc4de	4036734444477a1a	bits	4027dcfef96fc306			
rt-seed-0034	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:3fe01d06e2d0ecb1;4007000000000000:3fb14f0d85fc3fd8;4033800000000000:3fbca4a6babe07f8	0000000000000000	bits	3fe01d06e2d0ecb1			
rt-seed-0035	seeded	seeded-linear	0.2	LINEAR	0000000000000000:3fe2e16d5172ca6a;4030600000000000:3fe241f66e736cef;4031e00000000000:3fa7b49c3e492930;4038c00000000000:3fe50f073700d81b	40233f001fcd6c55	bits	3fe3333333333333			
rt-seed-0036	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:c014e9286a0a4990;4032600000000000:40413450e6aed588;4043700000000000:403750cc67a11660;4047300000000000:404bff3d7c9ade04	4032600000000000	bits	40413450e6aed588			
rt-seed-0037	seeded	seeded-linear	0.5	LINEAR	0000000000000000:408eeaebf16ec1db;402d800000000000:4074d38325a9ab29;403d800000000000:407ba611151eee2e;4044f00000000000:405ee068ca4b5d7f;4050c80000000000:405bafd70da11000	40478069f821dcf5	bits	405e400000000000			
rt-seed-0038	seeded	seeded-linear	5	LINEAR	0000000000000000:c0555f5a3ca1eb3c;4033e00000000000:c046e2f798c0a0d9	400bb1bede8fddfc	bits	c052c00000000000			
rt-seed-0039	seeded	seeded-linear	-1	LINEAR	0000000000000000:4052b89103c971b6;4011000000000000:405d1dcd3f9551da;4032200000000000:40251547d52a16b3;4044500000000000:3fda720d77400082;4047e00000000000:40519233fda6ed12	403d81fe695387ce	bits	4015aba2b9f21a49			
rt-seed-0040	seeded	seeded-linear	5	LINEAR	0000000000000000:406c4888baac29fd;400f000000000000:4055ff5cf18a7ea8;4035a00000000000:405f1a6a8e70f49b;4042700000000000:4076212041cb0bfa	4036b04f5bbf3728	bits	4061800000000000			
rt-seed-0041	seeded	seeded-linear	0.001	LINEAR	0000000000000000:4050ae0fc72adbe6;3fe8000000000000:408e924b9b172b7c;4028000000000000:4069ae0ef8c3f378	4051800000000000	bits	4069ae0ef8c3f378			
rt-seed-0042	seeded	seeded-linear	0.25	LINEAR	0000000000000000:4059c3196769c5b9;4032400000000000:4055aaad72f28f65;403b400000000000:403b2eb426130215;4040d00000000000:405b8f9785edb653	4036b99094c55609	bits	404ca00000000000			
rt-seed-0043	seeded	seeded-linear	5	LINEAR	0000000000000000:3fc590dfedf27a48;401e000000000000:4054923ff27a220e;4034200000000000:40341fc5e0c65d0d;403f400000000000:405214b4d06579f6;4048300000000000:40237e80d90126cf	4034200000000000	bits	40341fc5e0c65d0d			
rt-seed-0044	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:bfd2869de13588d8;4036c00000000000:bfec1b3da4b377a2;4046900000000000:3fa72c515f5c3f60;4050180000000000:3fc75204d5ccdde8;4053980000000000:3fd769b16174c44c	404b7f6911721771	bits	3fbd8f7e8da498d1			
rt-seed-0045	seeded	seeded-linear	0.001	LINEAR	0000000000000000:bfce045b9f2665d0;402e400000000000:3fefe2c133b9b998;4036400000000000:3fccf226b6d27a40	402e400000000000	bits	3fefe2c133b9b998			
rt-seed-0046	seeded	seeded-linear	0.01	LINEAR	0000000000000000:404d47af3028a070;4032a00000000000:c045c56beb03fc9c	0000000000000000	bits	404d47af3028a070			
rt-seed-0047	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:3fbe7468757d7360;4007000000000000:3fe11f29abbba130;401e800000000000:3fedb27864647f7c;402bc00000000000:bfe93880886b3a40	402636332f51ae6e	bits	bf9c6ff2b7be6c20			
rt-seed-0048	seeded	seeded-linear	0.2	LINEAR	0000000000000000:bfe5083bf99e31da;4032200000000000:3fcf287c945f8720;4037a00000000000:3fd22f9499397d5c;403d400000000000:bfd70c8f810df914;4044a00000000000:bfe388cff20ee674	3ffe4ea8cdcbfe6c	bits	bfe3333333333333			
rt-seed-0049	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:3f6c087ad471d100;3ff6000000000000:3fa3cf34f7cb1720;4028400000000000:3fe43ef9d8611a05;4032600000000000:3fcf0c40eb05e760	3fc44ec2fe8900eb	bits	3f7eaf51f256bace			
rt-seed-0050	seeded	seeded-linear	0.01	LINEAR	0000000000000000:405c0a3de4a23ca3;402d800000000000:403aac2d6f2d9a27;4041300000000000:4039453ca207017d;4047700000000000:4051c96eff9cc281	404128f68499c994	bits	403947ae147ae148			
rt-seed-0051	seeded	seeded-linear	0	LINEAR	0000000000000000:4053f283bf74ac48;4037600000000000:4052bbda408d7d7b;4040600000000000:405d1e63be699325;404bf00000000000:4059bd1eb144b8fe	403b0389f77b0cc9	bits	4056c3bd89567a5f			
rt-seed-0052	seeded	seeded-linear	1E-400	LINEAR	0000000000000000:3fe7a6c729082f8f;4032600000000000:3fea9c069300d2a4;4045a00000000000:3fe4a306e8782789	0000000000000000	bits	3fe7a6c729082f8f			
rt-seed-0053	seeded	seeded-linear	0.1	LINEAR	0000000000000000:403bca67a6a87baa;402c000000000000:40502ac13b46134e;4035e00000000000:404442c3382bd5ed;403e000000000000:404301f206769525;4045000000000000:4042aecbe65beba5	4041e90198171822	bits	4042d9999999999a			
rt-seed-0054	seeded	seeded-linear	0.5	LINEAR	0000000000000000:4031b0be0602ce6b;402fc00000000000:401314e3b74be12d	4044f00000000000	bits	401314e3b74be12d			
rt-seed-0055	seeded	seeded-linear	0.1	LINEAR	0000000000000000:406e1dd7603eb8d1;3fec000000000000:407439903544a505;402d000000000000:408e1a5e6dc910a3;4042e00000000000:408b3804013c698a	4031502537e7d7ab	bits	408dc1999999999a			
rt-seed-0056	seeded	seeded-linear	0	LINEAR	0000000000000000:3fe7c1f264218583;402e400000000000:3fec0b3dcba5996c	402c6c74966c9337	bits	3febc8fdfd6bfae8			
rt-seed-0057	seeded	seeded-linear	0	LINEAR	0000000000000000:3fef0e8932ad1d4c;4021400000000000:3fbd4cb69f880560;4027400000000000:3fda888303449de0;4034800000000000:3fe1931aac9b55ce	402396dee4b54236	bits	3fcda0cae94bc697			
rt-seed-0058	seeded	seeded-linear	-1	LINEAR	0000000000000000:405a814a18538873;4035e00000000000:405aa87a10b8c7d0;4043b00000000000:40359cc6ce2c852a;4046500000000000:40525f75a6511034	40335d5160bbe3f2	bits	405aa3fabfe722f7			
rt-seed-0059	seeded	seeded-linear	0.5	LINEAR	0000000000000000:4031bcd681aa3c5a;402d000000000000:4057edd33a8b54e3;403c400000000000:40525b2971fc2541;4043300000000000:4052c1bf9eb350f1;4048100000000000:405d4829c30d1a9f	4013a51146c2bcf3	bits	4046000000000000			
rt-seed-0060	seeded	seeded-linear	-1	LINEAR	0000000000000000:407496f6a5ca8317;3fe4000000000000:408a101b4f956dec;400f000000000000:408443e55acdb212;4032400000000000:40776f73d28e9259	4031f76815edaf0e	bits	4077c5c83c0edac3			
rt-seed-0061	seeded	seeded-linear	0.1	LINEAR	0000000000000000:c034e152139227e4;4012800000000000:4044e3c620646c04;4030200000000000:404dde514ea6283c	4014c951435febef	bits	40454ccccccccccd			
rt-seed-0062	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:4089993d2fb4f4b5;402d800000000000:40825b52edeb0308;403f400000000000:404a9382f8e5f3c8;4041700000000000:408506f128400ae6;4043400000000000:406b97abe65687bf	40306a9324490115	bits	4080aca455f9e05c			
rt-seed-0063	seeded	seeded-linear	0.10	LINEAR	0000000000000000:3feb83bb2e482765;4037400000000000:3fc772d8c7f24534;4044600000000000:3fe776988bd1c559	402514ff962df845	bits	3fe3333333333333			
rt-seed-0064	seeded	seeded-linear	0.2	LINEAR	0000000000000000:c05826e4ae37910a;4030600000000000:c052ee2003c8b644;4036c00000000000:4048c6b857eabf4c;4047e00000000000:c045818e29b90a3b;4048e00000000000:4029e9220a317370	4031782b76460af8	bits	c04b19999999999a			
rt-seed-0065	seeded	seeded-linear	0.2	LINEAR	0000000000000000:4074bc979969cf96;4039000000000000:4083b28fcfb2913e	0000000000000000	bits	4074bc979969cf96			
rt-seed-0066	seeded	seeded-linear	0.5	LINEAR	0000000000000000:3fd6aee4925c5f64;3ffa000000000000:3fe000bf3be6c732	3ffa000000000000	bits	3fe000bf3be6c732			
rt-seed-0067	seeded	seeded-linear	-1	LINEAR	0000000000000000:bfda328dfc518df8;4039400000000000:3fec816f95711fb6	4047a00000000000	bits	3fec816f95711fb6			
rt-seed-0068	seeded	seeded-linear	0.01	LINEAR	0000000000000000:40620d62e7fd25b6;4033c00000000000:408847d77985ce87;4043b00000000000:408e164e1e434a4a	4058980000000000	bits	408e164e1e434a4a			
rt-seed-0069	seeded	seeded-linear	0.5	LINEAR	0000000000000000:3ff926745332aed4;402bc00000000000:4054df0e380c3587;403be00000000000:400eeca5a1937346	4015029e8017f830	bits	4040400000000000			
rt-seed-0070	seeded	seeded-linear	0.00	LINEAR	0000000000000000:4033a53b4109196a;4027400000000000:404858651092fd98;403c000000000000:403580efdf78e1fe	4047000000000000	bits	403580efdf78e1fe			
rt-seed-0071	seeded	seeded-linear	0.001	LINEAR	0000000000000000:3fa067c5fd2b7520;4019800000000000:bfe87a6be7dd6fee;402c800000000000:bfdc89f8546ca034	401baa6cc373e809	bits	bfe7ced916872b02			
rt-seed-0072	seeded	seeded-linear	1	LINEAR	0000000000000000:4035f423538ddcd8;4030c00000000000:c058130f84f7151f;403ac00000000000:4031358528cd6eb4	3fffa035a4f2e64e	bits	4020000000000000			
rt-seed-0073	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:3fdca6d2264d7d04;4037400000000000:bfc0e4fbfc021340	40352204d07e1e56	bits	bfb446b69db65ecc			
rt-seed-0074	seeded	seeded-linear	1E-7	LINEAR	0000000000000000:3feda5788e1a4310;4020c00000000000:3fbdd5696c32b7c0;4030400000000000:3fecbe5dc613bf47	4020e15d42caa535	bits	3fbf7d53e8b5609f			
rt-seed-0075	seeded	seeded-linear	0.001	LINEAR	0000000000000000:4035e2d5ad6033a0;4029400000000000:405a2c6f206f4593;4040500000000000:404f90c32f974758;404bd00000000000:403b2abea109416e	4045ed9c736d6189	bits	4046c8f5c28f5c29			
rt-seed-0076	seeded	seeded-linear	0.1	LINEAR	0000000000000000:4035d0240dff2931;4035600000000000:4056484e87104871;4047500000000000:40506df7fee5d60f;4050480000000000:404a7abbbd805823	40314dc6df9241b0	bits	4053133333333333			
rt-seed-0077	seeded	seeded-linear	0.001	LINEAR	0000000000000000:405222f4131c8dac;4022800000000000:4033ce83f84b1739	0000000000000000	bits	405222f4131c8dac			
rt-seed-0078	seeded	seeded-linear	0.001	LINEAR	0000000000000000:3fe5381e093deb77;4036800000000000:3fe0cc9ca6ecc0e5;4041900000000000:3fc982db96c488a4;4045800000000000:3fe1d38f25e79b9c	40251126be5e2796	bits	3fe32b020c49ba5e			
rt-seed-0079	seeded	seeded-linear	0.01	LINEAR	0000000000000000:3fe93df414b93619;4033c00000000000:3fe875d4194fa775;403d400000000000:3fda6411ba0f2558	4056900000000000	bits	3fda6411ba0f2558			
rt-seed-0080	seeded	seeded-linear	0.123456789012345678901	LINEAR	0000000000000000:406dfff042d824ea;4038200000000000:4086bef225520c47;4045000000000000:4078872311817987;4046200000000000:4086efc684cf4216;4050f00000000000:407ab1a13e45e084	4045ff4b421e6959	bits	4085b97b3f170f2a			
rt-seed-0081	seeded	seeded-linear	0.01	LINEAR	0000000000000000:4083ca78acda7abe;4036e00000000000:4088bcbb7273d81b;4039600000000000:40814e4fd360637d	4031c550819c6611	bits	4087a228f5c28f5c			
